location_id,customer_city,customer_state,customer_region
Loc63,Rapid City,South Dakota,Central
Loc64,Alexandria,Virginia,South
Loc65,Alexandria,Virginia,South
Loc66,Rapid City,South Dakota,Central
Loc67,Alexandria,Virginia,South
Loc68,Alexandria,Virginia,South
Loc69,Alexandria,Virginia,South
Loc70,Alexandria,Virginia,South
Loc71,Alexandria,Virginia,South
Loc72,San Diego,California,West
Loc73,San Diego,California,West
Loc74,San Diego,California,West
Loc75,New York City,New York,East
Loc76,Detroit,Michigan,Central
Loc77,Detroit,Michigan,Central
Loc78,Mission Viejo,California,West
Loc79,Green Bay,Wisconsin,Central
Loc80,Saint Petersburg,Florida,South
Loc81,San Diego,California,West
Loc82,Saint Petersburg,Florida,South
Loc83,Seattle,Washington,West
Loc84,Seattle,Washington,West
Loc85,Escondido,California,West
Loc86,San Diego,California,West
Loc87,San Diego,California,West
Loc88,Romeoville,Illinois,Central
Loc89,Chesapeake,Virginia,South
Loc90,Chesapeake,Virginia,South
Loc91,Chesapeake,Virginia,South
Loc92,New York City,New York,East
Loc93,Linden,New Jersey,East
Loc94,North Las Vegas,Nevada,West
Loc95,Columbia,Missouri,Central
Loc96,Columbia,Missouri,Central
Loc97,Chesapeake,Virginia,South
Loc98,Chesapeake,Virginia,South
Loc99,Columbia,Missouri,Central
Loc100,Columbia,Missouri,Central
Loc101,Columbia,Missouri,Central
Loc102,Columbia,Missouri,Central
Loc103,Chesapeake,Virginia,South
Loc104,Concord,California,West
Loc105,Seattle,Washington,West
Loc106,Houston,Texas,Central
Loc107,Seattle,Washington,West
Loc108,Seattle,Washington,West
Loc109,Seattle,Washington,West
Loc110,Dallas,Texas,Central
Loc111,Dallas,Texas,Central
Loc112,Chicago,Illinois,Central
Loc113,Lubbock,Texas,Central
Loc114,Arlington,Texas,Central
Loc115,Richmond,Indiana,Central
Loc116,Los Angeles,California,West
Loc117,Richmond,Indiana,Central
Loc118,Woodstock,Illinois,Central
Loc119,Moreno Valley,California,West
Loc120,El Paso,Texas,Central
Loc121,El Paso,Texas,Central
Loc122,Medford,Oregon,West
Loc123,Medford,Oregon,West
Loc124,Columbus,Ohio,East
Loc125,Elmhurst,Illinois,Central
Loc126,El Paso,Texas,Central
Loc127,Seattle,Washington,West
Loc128,El Paso,Texas,Central
Loc129,Houston,Texas,Central
Loc130,El Paso,Texas,Central
Loc131,Elmhurst,Illinois,Central
Loc132,El Paso,Texas,Central
Loc133,Seattle,Washington,West
Loc134,New York City,New York,East
Loc135,Chicago,Illinois,Central
Loc136,Philadelphia,Pennsylvania,East
Loc137,Asheville,North Carolina,South
Loc138,Carrollton,Texas,Central
Loc139,New York City,New York,East
Loc140,Los Angeles,California,West
Loc141,New York City,New York,East
Loc142,Wilmington,North Carolina,South
Loc143,Louisville,Colorado,West
Loc144,New York City,New York,East
Loc145,Seattle,Washington,West
Loc146,Fairfield,Ohio,East
Loc147,New York City,New York,East
Loc148,Margate,Florida,South
Loc149,Wilmington,Delaware,East
Loc150,Yonkers,New York,East
Loc151,Yonkers,New York,East
Loc152,Coon Rapids,Minnesota,Central
Loc153,Yonkers,New York,East
Loc154,New York City,New York,East
Loc155,Seattle,Washington,West
Loc156,Richmond,Kentucky,South
Loc157,Seattle,Washington,West
Loc158,Seattle,Washington,West
Loc159,Seattle,Washington,West
Loc160,Des Moines,Washington,West
Loc161,Columbus,Georgia,South
Loc162,Los Angeles,California,West
Loc163,Denver,Colorado,West
Loc164,Royal Oak,Michigan,Central
Loc165,Denver,Colorado,West
Loc166,Columbus,Ohio,East
Loc167,Richmond,Kentucky,South
Loc168,Roseville,California,West
Loc169,Columbus,Ohio,East
Loc170,Richmond,Kentucky,South
Loc171,New York City,New York,East
Loc172,Richmond,Kentucky,South
Loc173,Richmond,Kentucky,South
Loc174,Chesapeake,Virginia,South
Loc175,Huntington Beach,California,West
Loc176,Logan,Utah,West
Loc177,Logan,Utah,West
Loc178,Jacksonville,Florida,South
Loc179,Huntington Beach,California,West
Loc180,Chicago,Illinois,Central
Loc181,Logan,Utah,West
Loc182,Logan,Utah,West
Loc183,Logan,Utah,West
Loc184,Toledo,Ohio,East
Loc185,Tampa,Florida,South
Loc186,Tampa,Florida,South
Loc187,Tampa,Florida,South
Loc188,Tampa,Florida,South
Loc189,Tampa,Florida,South
Loc190,Raleigh,North Carolina,South
Loc191,New York City,New York,East
Loc192,New York City,New York,East
Loc193,New York City,New York,East
Loc194,Lakeville,Minnesota,Central
Loc195,Jackson,Mississippi,South
Loc196,Dallas,Texas,Central
Loc197,Lakeville,Minnesota,Central
Loc198,Lakeville,Minnesota,Central
Loc199,Jackson,Mississippi,South
Loc200,Jackson,Mississippi,South
Loc201,Lakeville,Minnesota,Central
Loc202,Lakeville,Minnesota,Central
Loc203,New York City,New York,East
Loc204,Dallas,Texas,Central
Loc205,Dallas,Texas,Central
Loc206,New York City,New York,East
Loc207,Jackson,Mississippi,South
Loc208,Jackson,Mississippi,South
Loc209,Philadelphia,Pennsylvania,East
Loc210,San Francisco,California,West
Loc211,Jacksonville,Florida,South
Loc212,Jacksonville,Florida,South
Loc213,Burbank,California,West
Loc214,Jacksonville,Florida,South
Loc215,Jacksonville,Florida,South
Loc216,Jacksonville,Florida,South
Loc217,Burbank,California,West
Loc218,Burbank,California,West
Loc219,Jacksonville,Florida,South
Loc220,Jacksonville,Florida,South
Loc221,Lakeland,Florida,South
Loc222,Lakeland,Florida,South
Loc223,Lakeland,Florida,South
Loc224,Lakeland,Florida,South
Loc225,Lakeland,Florida,South
Loc226,Lakeland,Florida,South
Loc227,Lakeland,Florida,South
Loc228,Knoxville,Tennessee,South
Loc229,Knoxville,Tennessee,South
Loc230,Springfield,Virginia,South
Loc231,Hamilton,Ohio,East
Loc232,Hamilton,Ohio,East
Loc233,Springfield,Virginia,South
Loc234,Springfield,Virginia,South
Loc235,Knoxville,Tennessee,South
Loc236,Springfield,Virginia,South
Loc237,Asheville,North Carolina,South
Loc238,Springfield,Virginia,South
Loc239,Tucson,Arizona,West
Loc240,Portage,Indiana,Central
Loc241,Greensboro,North Carolina,South
Loc242,Jackson,Michigan,Central
Loc243,Tucson,Arizona,West
Loc244,Brentwood,California,West
Loc245,Los Angeles,California,West
Loc246,Los Angeles,California,West
Loc247,Fresno,California,West
Loc248,New York City,New York,East
Loc249,Detroit,Michigan,Central
Loc250,Chicago,Illinois,Central
Loc251,San Francisco,California,West
Loc252,San Francisco,California,West
Loc253,San Francisco,California,West
Loc254,San Francisco,California,West
Loc255,San Francisco,California,West
Loc256,Pomona,California,West
Loc257,Los Angeles,California,West
Loc258,San Francisco,California,West
Loc259,Springfield,Ohio,East
Loc260,Des Moines,Iowa,Central
Loc261,Des Moines,Iowa,Central
Loc262,Albuquerque,New Mexico,West
Loc263,Baltimore,Maryland,East
Loc264,San Francisco,California,West
Loc265,Brownsville,Texas,Central
Loc266,New York City,New York,East
Loc267,Long Beach,New York,East
Loc268,Brownsville,Texas,Central
Loc269,Seattle,Washington,West
Loc270,Apple Valley,Minnesota,Central
Loc271,Seattle,Washington,West
Loc272,Brownsville,Texas,Central
Loc273,Tampa,Florida,South
Loc274,San Francisco,California,West
Loc275,Tampa,Florida,South
Loc276,Miami,Florida,South
Loc277,Tampa,Florida,South
Loc278,Chicago,Illinois,Central
Loc279,Philadelphia,Pennsylvania,East
Loc280,San Francisco,California,West
Loc281,Chicago,Illinois,Central
Loc282,Vallejo,California,West
Loc283,Revere,Massachusetts,East
Loc284,Vallejo,California,West
Loc285,Revere,Massachusetts,East
Loc286,Virginia Beach,Virginia,South
Loc287,Athens,Georgia,South
Loc288,Houston,Texas,Central
Loc289,Houston,Texas,Central
Loc290,Athens,Georgia,South
Loc291,Athens,Georgia,South
Loc292,Los Angeles,California,West
Loc293,Los Angeles,California,West
Loc294,Los Angeles,California,West
Loc295,Detroit,Michigan,Central
Loc296,Detroit,Michigan,Central
Loc297,Los Angeles,California,West
Loc298,San Francisco,California,West
Loc299,Lafayette,Louisiana,South
Loc300,Lafayette,Louisiana,South
Loc301,Lafayette,Louisiana,South
Loc302,Lafayette,Louisiana,South
Loc303,Alexandria,Virginia,South
Loc304,Dearborn Heights,Michigan,Central
Loc305,Dearborn Heights,Michigan,Central
Loc306,Alexandria,Virginia,South
Loc307,Richmond,Kentucky,South
Loc308,Dearborn Heights,Michigan,Central
Loc309,Alexandria,Virginia,South
Loc310,New York City,New York,East
Loc311,Dearborn Heights,Michigan,Central
Loc312,Decatur,Illinois,Central
Loc313,Decatur,Illinois,Central
Loc314,Alexandria,Virginia,South
Loc315,Alexandria,Virginia,South
Loc316,Los Angeles,California,West
Loc317,Los Angeles,California,West
Loc318,Seattle,Washington,West
Loc319,Philadelphia,Pennsylvania,East
Loc320,Los Angeles,California,West
Loc321,Los Angeles,California,West
Loc322,Lancaster,Pennsylvania,East
Loc323,Los Angeles,California,West
Loc324,Los Angeles,California,West
Loc325,Philadelphia,Pennsylvania,East
Loc326,Seattle,Washington,West
Loc327,Los Angeles,California,West
Loc328,Philadelphia,Pennsylvania,East
Loc329,Mobile,Alabama,South
Loc330,Columbia,South Carolina,South
Loc331,Marietta,Georgia,South
Loc332,Columbia,South Carolina,South
Loc333,Marietta,Georgia,South
Loc334,Decatur,Alabama,South
Loc335,Concord,California,West
Loc336,Toledo,Ohio,East
Loc337,Glendale,Arizona,West
Loc338,Chandler,Arizona,West
Loc339,Glendale,Arizona,West
Loc340,Concord,California,West
Loc341,Lewiston,Idaho,West
Loc342,Miami,Florida,South
Loc343,Miami,Florida,South
Loc344,Great Falls,Montana,West
Loc345,Miami,Florida,South
Loc346,Miami,Florida,South
Loc347,Great Falls,Montana,West
Loc348,Great Falls,Montana,West
Loc349,Austin,Texas,Central
Loc350,Redondo Beach,California,West
Loc351,Lodi,California,West
Loc352,Redondo Beach,California,West
Loc353,Bloomington,Indiana,Central
Loc354,Redondo Beach,California,West
Loc355,Redondo Beach,California,West
Loc356,Philadelphia,Pennsylvania,East
Loc357,Philadelphia,Pennsylvania,East
Loc358,Philadelphia,Pennsylvania,East
Loc359,Baltimore,Maryland,East
Loc360,Philadelphia,Pennsylvania,East
Loc361,Los Angeles,California,West
Loc362,Los Angeles,California,West
Loc363,Wilmington,North Carolina,South
Loc364,Houston,Texas,Central
Loc365,Los Angeles,California,West
Loc366,Houston,Texas,Central
Loc367,Los Angeles,California,West
Loc368,Houston,Texas,Central
Loc369,Los Angeles,California,West
Loc370,Houston,Texas,Central
Loc371,Los Angeles,California,West
Loc372,San Jose,California,West
Loc373,Arlington,Virginia,South
Loc374,Arlington,Virginia,South
Loc375,Los Angeles,California,West
Loc376,Houston,Texas,Central
Loc377,Houston,Texas,Central
Loc378,Houston,Texas,Central
Loc379,Los Angeles,California,West
Loc380,Henderson,Kentucky,South
Loc381,Troy,New York,East
Loc382,Troy,New York,East
Loc383,Columbus,Ohio,East
Loc384,Columbus,Ohio,East
Loc385,Columbus,Ohio,East
Loc386,Columbus,Ohio,East
Loc387,Philadelphia,Pennsylvania,East
Loc388,San Francisco,California,West
Loc389,San Gabriel,California,West
Loc390,San Gabriel,California,West
Loc391,San Gabriel,California,West
Loc392,Houston,Texas,Central
Loc393,Houston,Texas,Central
Loc394,Wilmington,North Carolina,South
Loc395,Los Angeles,California,West
Loc396,Los Angeles,California,West
Loc397,Los Angeles,California,West
Loc398,Los Angeles,California,West
Loc399,Baltimore,Maryland,East
Loc400,Baltimore,Maryland,East
Loc401,Baltimore,Maryland,East
Loc402,Newark,Ohio,East
Loc403,Baltimore,Maryland,East
Loc404,Newark,Ohio,East
Loc405,Newark,Ohio,East
Loc406,Jamestown,New York,East
Loc407,San Francisco,California,West
Loc408,Memphis,Tennessee,South
Loc409,Lake Charles,Louisiana,South
Loc410,Rochester,New York,East
Loc411,Gastonia,North Carolina,South
Loc412,Memphis,Tennessee,South
Loc413,Dover,Delaware,East
Loc414,Louisville,Kentucky,South
Loc415,Louisville,Kentucky,South
Loc416,Jackson,Mississippi,South
Loc417,Gastonia,North Carolina,South
Loc418,Lakeland,Florida,South
Loc419,Yonkers,New York,East
Loc420,Yonkers,New York,East
Loc421,Appleton,Wisconsin,Central
Loc422,Middletown,Connecticut,East
Loc423,Seattle,Washington,West
Loc424,Seattle,Washington,West
Loc425,Houston,Texas,Central
Loc426,Jackson,Michigan,Central
Loc427,Houston,Texas,Central
Loc428,San Antonio,Texas,Central
Loc429,Richmond,Kentucky,South
Loc430,Arlington,Virginia,South
Loc431,Arlington,Virginia,South
Loc432,Richmond,Kentucky,South
Loc433,Richmond,Kentucky,South
Loc434,Freeport,Illinois,Central
Loc435,Los Angeles,California,West
Loc436,Los Angeles,California,West
Loc437,Los Angeles,California,West
Loc438,Lawrence,Massachusetts,East
Loc439,Lawrence,Massachusetts,East
Loc440,Lawrence,Massachusetts,East
Loc441,Lawrence,Massachusetts,East
Loc442,Philadelphia,Pennsylvania,East
Loc443,Henderson,Kentucky,South
Loc444,Henderson,Kentucky,South
Loc445,Henderson,Kentucky,South
Loc446,Henderson,Kentucky,South
Loc447,San Francisco,California,West
Loc448,Gastonia,North Carolina,South
Loc449,Philadelphia,Pennsylvania,East
Loc450,San Jose,California,West
Loc451,Philadelphia,Pennsylvania,East
Loc452,Wilmington,Delaware,East
Loc453,San Jose,California,West
Loc454,San Jose,California,West
Loc455,San Jose,California,West
Loc456,Kent,Washington,West
Loc457,Huntsville,Texas,Central
Loc458,Pasadena,California,West
Loc459,Watertown,New York,East
Loc460,Chicago,Illinois,Central
Loc461,Wichita,Kansas,Central
Loc462,Houston,Texas,Central
Loc463,Arlington,Texas,Central
Loc464,Waco,Texas,Central
Loc465,Milwaukee,Wisconsin,Central
Loc466,Torrance,California,West
Loc467,San Francisco,California,West
Loc468,Hialeah,Florida,South
Loc469,Hialeah,Florida,South
Loc470,Los Angeles,California,West
Loc471,West Jordan,Utah,West
Loc472,Oakland,California,West
Loc473,Saint Petersburg,Florida,South
Loc474,Los Angeles,California,West
Loc475,San Francisco,California,West
Loc476,Eau Claire,Wisconsin,Central
Loc477,Akron,Ohio,East
Loc478,Newport News,Virginia,South
Loc479,Dallas,Texas,Central
Loc480,Cleveland,Ohio,East
Loc481,Midland,Michigan,Central
Loc482,Virginia Beach,Virginia,South
Loc483,Dover,New Hampshire,East
Loc484,San Francisco,California,West
Loc485,Dover,New Hampshire,East
Loc486,Dover,New Hampshire,East
Loc487,San Marcos,Texas,Central
Loc488,San Marcos,Texas,Central
Loc489,San Marcos,Texas,Central
Loc490,Houston,Texas,Central
Loc491,Lawrence,Massachusetts,East
Loc492,New York City,New York,East
Loc493,Houston,Texas,Central
Loc494,Chicago,Illinois,Central
Loc495,Columbus,Ohio,East
Loc496,Houston,Texas,Central
Loc497,Houston,Texas,Central
Loc498,Springfield,Missouri,Central
Loc499,Virginia Beach,Virginia,South
Loc500,Wheeling,Illinois,Central
Loc501,Decatur,Alabama,South
Loc502,New York City,New York,East
Loc503,Phoenix,Arizona,West
Loc504,New York City,New York,East
Loc505,Port Arthur,Texas,Central
Loc506,Reno,Nevada,West
Loc507,Cranston,Rhode Island,East
Loc508,Laredo,Texas,Central
Loc509,Baltimore,Maryland,East
Loc510,Chicago,Illinois,Central
Loc511,Chicago,Illinois,Central
Loc512,Columbia,South Carolina,South
Loc513,Los Angeles,California,West
Loc514,Los Angeles,California,West
Loc515,Taylor,Michigan,Central
Loc516,Chicago,Illinois,Central
Loc517,Longview,Washington,West
Loc518,Richmond,Indiana,Central
Loc519,Los Angeles,California,West
Loc520,Los Angeles,California,West
Loc521,New York City,New York,East
Loc522,Great Falls,Montana,West
Loc523,San Diego,California,West
Loc524,Seattle,Washington,West
Loc525,San Francisco,California,West
Loc526,Seattle,Washington,West
Loc527,Pleasant Grove,Utah,West
Loc528,New York City,New York,East
Loc529,Buffalo Grove,Illinois,Central
Loc530,New York City,New York,East
Loc531,New York City,New York,East
Loc532,Brentwood,California,West
Loc533,Richmond,Virginia,South
Loc534,Leominster,Massachusetts,East
Loc535,Chicago,Illinois,Central
Loc536,New York City,New York,East
Loc537,Jackson,Mississippi,South
Loc538,Jackson,Mississippi,South
Loc539,Kenosha,Wisconsin,Central
Loc540,Little Rock,Arkansas,South
Loc541,Lakeville,Minnesota,Central
Loc542,Detroit,Michigan,Central
Loc543,San Diego,California,West
Loc544,Miami,Florida,South
Loc545,Detroit,Michigan,Central
Loc546,Lakeville,Minnesota,Central
Loc547,New York City,New York,East
Loc548,Lakeville,Minnesota,Central
Loc549,Little Rock,Arkansas,South
Loc550,Orem,Utah,West
Loc551,Roswell,Georgia,South
Loc552,Orem,Utah,West
Loc553,Roswell,Georgia,South
Loc554,Roswell,Georgia,South
Loc555,Decatur,Illinois,Central
Loc556,Anaheim,California,West
Loc557,Midland,Michigan,Central
Loc558,Decatur,Illinois,Central
Loc559,Atlanta,Georgia,South
Loc560,New York City,New York,East
Loc561,New York City,New York,East
Loc562,New York City,New York,East
Loc563,New York City,New York,East
Loc564,Columbus,Ohio,East
Loc565,Long Beach,New York,East
Loc566,Rochester,New York,East
Loc567,Jacksonville,Florida,South
Loc568,Chicago,Illinois,Central
Loc569,Coral Springs,Florida,South
Loc570,New York City,New York,East
Loc571,Houston,Texas,Central
Loc572,Jacksonville,Florida,South
Loc573,Long Beach,New York,East
Loc574,Houston,Texas,Central
Loc575,Peoria,Illinois,Central
Loc576,Bristol,Tennessee,South
Loc577,Seattle,Washington,West
Loc578,San Diego,California,West
Loc579,Newark,Delaware,East
Loc580,Arlington,Virginia,South
Loc581,North Las Vegas,Nevada,West
Loc582,Springfield,Virginia,South
Loc583,Harrisonburg,Virginia,South
Loc584,Los Angeles,California,West
Loc585,Huntsville,Texas,Central
Loc586,North Las Vegas,Nevada,West
Loc587,Los Angeles,California,West
Loc588,San Francisco,California,West
Loc589,Philadelphia,Pennsylvania,East
Loc590,North Las Vegas,Nevada,West
Loc591,San Francisco,California,West
Loc592,Huntsville,Texas,Central
Loc593,Huntsville,Texas,Central
Loc594,Los Angeles,California,West
Loc595,Los Angeles,California,West
Loc596,Detroit,Michigan,Central
Loc597,Los Angeles,California,West
Loc598,Detroit,Michigan,Central
Loc599,San Antonio,Texas,Central
Loc600,San Antonio,Texas,Central
Loc601,San Antonio,Texas,Central
Loc602,El Paso,Texas,Central
Loc603,Mishawaka,Indiana,Central
Loc604,San Francisco,California,West
Loc605,Hempstead,New York,East
Loc606,Hempstead,New York,East
Loc607,Seattle,Washington,West
Loc608,Seattle,Washington,West
Loc609,Houston,Texas,Central
Loc610,Chicago,Illinois,Central
Loc611,Newark,Delaware,East
Loc612,Los Angeles,California,West
Loc613,Plano,Texas,Central
Loc614,Lawton,Oklahoma,Central
Loc615,Lawton,Oklahoma,Central
Loc616,Plano,Texas,Central
Loc617,Plano,Texas,Central
Loc618,Plano,Texas,Central
Loc619,Plano,Texas,Central
Loc620,Plano,Texas,Central
Loc621,Plano,Texas,Central
Loc622,Philadelphia,Pennsylvania,East
Loc623,Waynesboro,Virginia,South
Loc624,New York City,New York,East
Loc625,Philadelphia,Pennsylvania,East
Loc626,Lakewood,New Jersey,East
Loc627,Meriden,Connecticut,East
Loc628,Philadelphia,Pennsylvania,East
Loc629,Pueblo,Colorado,West
Loc630,Pueblo,Colorado,West
Loc631,Philadelphia,Pennsylvania,East
Loc632,New York City,New York,East
Loc633,Waynesboro,Virginia,South
Loc634,Philadelphia,Pennsylvania,East
Loc635,Philadelphia,Pennsylvania,East
Loc636,Long Beach,New York,East
Loc637,Waynesboro,Virginia,South
Loc638,New York City,New York,East
Loc639,Lakewood,New Jersey,East
Loc640,Chester,Pennsylvania,East
Loc641,Chester,Pennsylvania,East
Loc642,Minneapolis,Minnesota,Central
Loc643,Minneapolis,Minnesota,Central
Loc644,Louisville,Colorado,West
Loc645,Chester,Pennsylvania,East
Loc646,Concord,North Carolina,South
Loc647,Concord,North Carolina,South
Loc648,Philadelphia,Pennsylvania,East
Loc649,Tucson,Arizona,West
Loc650,Los Angeles,California,West
Loc651,Salem,Oregon,West
Loc652,Salem,Oregon,West
Loc653,Salem,Oregon,West
Loc654,Southaven,Mississippi,South
Loc655,Southaven,Mississippi,South
Loc656,Southaven,Mississippi,South
Loc657,Philadelphia,Pennsylvania,East
Loc658,Philadelphia,Pennsylvania,East
Loc659,Philadelphia,Pennsylvania,East
Loc660,Detroit,Michigan,Central
Loc661,Baltimore,Maryland,East
Loc662,Philadelphia,Pennsylvania,East
Loc663,Cincinnati,Ohio,East
Loc664,Detroit,Michigan,Central
Loc665,Spokane,Washington,West
Loc666,Los Angeles,California,West
Loc667,Chicago,Illinois,Central
Loc668,New York City,New York,East
Loc669,Bakersfield,California,West
Loc670,Houston,Texas,Central
Loc671,Wilmington,North Carolina,South
Loc672,Houston,Texas,Central
Loc673,Los Angeles,California,West
Loc674,San Francisco,California,West
Loc675,Deltona,Florida,South
Loc676,San Francisco,California,West
Loc677,Los Angeles,California,West
Loc678,Aurora,Colorado,West
Loc679,Richmond,Virginia,South
Loc680,San Diego,California,West
Loc681,Richmond,Virginia,South
Loc682,Palm Coast,Florida,South
Loc683,Palm Coast,Florida,South
Loc684,Detroit,Michigan,Central
Loc685,Englewood,Colorado,West
Loc686,Palm Coast,Florida,South
Loc687,Jackson,Mississippi,South
Loc688,Jackson,Mississippi,South
Loc689,Philadelphia,Pennsylvania,East
Loc690,Houston,Texas,Central
Loc691,Los Angeles,California,West
Loc692,Concord,New Hampshire,East
Loc693,New York City,New York,East
Loc694,Columbus,Indiana,Central
Loc695,Philadelphia,Pennsylvania,East
Loc696,Los Angeles,California,West
Loc697,Orlando,Florida,South
Loc698,San Francisco,California,West
Loc699,Dallas,Texas,Central
Loc700,San Francisco,California,West
Loc701,San Francisco,California,West
Loc702,Los Angeles,California,West
Loc703,New York City,New York,East
Loc704,Dallas,Texas,Central
Loc705,San Francisco,California,West
Loc706,New York City,New York,East
Loc707,Los Angeles,California,West
Loc708,Hackensack,New Jersey,East
Loc709,Los Angeles,California,West
Loc710,Memphis,Tennessee,South
Loc711,Bayonne,New Jersey,East
Loc712,Hackensack,New Jersey,East
Loc713,El Paso,Texas,Central
Loc714,New York City,New York,East
Loc715,El Paso,Texas,Central
Loc716,Hackensack,New Jersey,East
Loc717,Niagara Falls,New York,East
Loc718,Seattle,Washington,West
Loc719,League City,Texas,Central
Loc720,San Francisco,California,West
Loc721,League City,Texas,Central
Loc722,Seattle,Washington,West
Loc723,San Francisco,California,West
Loc724,Seattle,Washington,West
Loc725,Franklin,Tennessee,South
Loc726,Watertown,New York,East
Loc727,Los Angeles,California,West
Loc728,Columbus,Ohio,East
Loc729,Aurora,Colorado,West
Loc730,Los Angeles,California,West
Loc731,Philadelphia,Pennsylvania,East
Loc732,Newark,Delaware,East
Loc733,Philadelphia,Pennsylvania,East
Loc734,New York City,New York,East
Loc735,Aurora,Illinois,Central
Loc736,Phoenix,Arizona,West
Loc737,Pasadena,California,West
Loc738,Lorain,Ohio,East
Loc739,Detroit,Michigan,Central
Loc740,Moreno Valley,California,West
Loc741,Redmond,Oregon,West
Loc742,New York City,New York,East
Loc743,New Rochelle,New York,East
Loc744,Bristol,Connecticut,East
Loc745,Spokane,Washington,West
Loc746,Bristol,Connecticut,East
Loc747,Bristol,Connecticut,East
Loc748,Jonesboro,Arkansas,South
Loc749,Glendale,Arizona,West
Loc750,New York City,New York,East
Loc751,Dallas,Texas,Central
Loc752,Riverside,California,West
Loc753,Peoria,Arizona,West
Loc754,San Diego,California,West
Loc755,San Francisco,California,West
Loc756,Columbus,Georgia,South
Loc757,San Diego,California,West
Loc758,Riverside,California,West
Loc759,San Francisco,California,West
Loc760,Newark,Ohio,East
Loc761,Springfield,Ohio,East
Loc762,Dallas,Texas,Central
Loc763,Riverside,California,West
Loc764,San Francisco,California,West
Loc765,Springfield,Oregon,West
Loc766,San Francisco,California,West
Loc767,New York City,New York,East
Loc768,San Francisco,California,West
Loc769,Dallas,Texas,Central
Loc770,Dallas,Texas,Central
Loc771,Omaha,Nebraska,Central
Loc772,San Francisco,California,West
Loc773,San Francisco,California,West
Loc774,New York City,New York,East
Loc775,San Francisco,California,West
Loc776,Los Angeles,California,West
Loc777,San Francisco,California,West
Loc778,Houston,Texas,Central
Loc779,New York City,New York,East
Loc780,Los Angeles,California,West
Loc781,Tucson,Arizona,West
Loc782,San Francisco,California,West
Loc783,New York City,New York,East
Loc784,Tucson,Arizona,West
Loc785,San Francisco,California,West
Loc786,Seattle,Washington,West
Loc787,Los Angeles,California,West
Loc788,San Francisco,California,West
Loc789,San Francisco,California,West
Loc790,Los Angeles,California,West
Loc791,San Francisco,California,West
Loc792,San Francisco,California,West
Loc793,Los Angeles,California,West
Loc794,Atlanta,Georgia,South
Loc795,North Las Vegas,Nevada,West
Loc796,Seattle,Washington,West
Loc797,Pasadena,California,West
Loc798,Hialeah,Florida,South
Loc799,San Antonio,Texas,Central
Loc800,San Antonio,Texas,Central
Loc801,Dallas,Texas,Central
Loc802,San Antonio,Texas,Central
Loc803,Atlanta,Georgia,South
Loc804,Chicago,Illinois,Central
Loc805,Draper,Utah,West
Loc806,San Antonio,Texas,Central
Loc807,North Las Vegas,Nevada,West
Loc808,North Las Vegas,Nevada,West
Loc809,New York City,New York,East
Loc810,San Francisco,California,West
Loc811,San Francisco,California,West
Loc812,Apopka,Florida,South
Loc813,Apopka,Florida,South
Loc814,Apopka,Florida,South
Loc815,Seattle,Washington,West
